Common Name,Scientific Name,Poison Level,Danger Level,Behavior (Agitated),If Attacked,Category,Endemic,Region,Venom Type,Description
Purple-faced Langur,Trachypithecus vetulus,Non-Venomous,Low,"May display aggressive vocalizations, bare their teeth, and shake branches.",Slowly back away while avoiding direct eye contact. Do not make sudden movements.,Mammal,Yes,"Throughout the island, but with distinct subspecies in different regions (Wet Zone, Dry Zone, Hill Zone).",None,"The Purple-faced Langur ( *Trachypithecus vetulus* ) is a slender Old World monkey with a distinctive dark face,  framed by grayish-white fur.  They inhabit various forest types in Sri Lanka, including rainforests, dry zone forests, and even urban areas. Primarily herbivorous, they feed on leaves, fruits, and flowers, playing a crucial role in seed dispersal.  Different subspecies exhibit variations in coat color and facial markings.  While generally shy, habitat loss and human encroachment have led to increased interactions with humans, sometimes resulting in defensive displays."
Golden Palm Civet,Paradoxurus zeylonensis,Non-Venomous,Low,"May hiss, growl, arch its back, and release a foul-smelling secretion from its anal glands.","Give it space to escape.  If cornered, defend yourself cautiously.",Mammal,Yes,"Throughout the island, but primarily in forested areas including lowland rainforests, montane forests, and even home gardens.",None,"The Golden Palm Civet (Paradoxurus zeylonensis), a nocturnal and arboreal mammal, is endemic to Sri Lanka.  Its golden-brown fur, often with darker markings, provides excellent camouflage in the dense foliage of its habitat.  Primarily frugivorous, the civet plays a crucial role in seed dispersal, contributing to the regeneration of forests.  It also consumes insects, small vertebrates, and eggs, adding to its ecological importance.  Although generally shy and elusive, habitat loss and human encroachment are increasing interactions, sometimes leading to conflict."
Small Indian Civet,Viverricula indica,Non-Venomous,Low,"May hiss, growl, and release a foul-smelling secretion from its perineal glands.",Give it space to escape. Wash thoroughly any area bitten.  Seek medical advice if necessary due to the risk of bacterial infection.,Mammal,No,"Throughout the island, including forested areas, scrublands, and even close to human settlements.",None,"The Small Indian Civet ( *Viverricula indica* ) is a slender, nocturnal mammal with a pointed face, long tail with black and white rings, and a grayish-brown coat with dark spots or stripes. It inhabits a variety of habitats in Sri Lanka, from forests and scrublands to agricultural areas and even near human dwellings.  This omnivorous civet plays a vital role in seed dispersal and insect control, feeding on fruits, insects, small rodents, reptiles, and birds. It is known for its production of civetone, a musk-like secretion used in perfumery, though it's important to note ethical concerns surrounding its extraction.  While generally shy and elusive, they can be defensive if cornered."
Common Palm Civet   Toddy Cat,Paradoxurus hermaphroditus,Non-Venomous,Low,"Hisses, growls, arches its back, and may release a pungent musk from its anal glands.","Give it space to escape.  If cornered, defend yourself cautiously while trying to create an escape route for the animal. Medical attention is rarely needed unless significantly bitten.",Mammal,No,"Island-wide, including various habitats from forests to urban areas.",None,"The Common Palm Civet, also known as the Toddy Cat, is a nocturnal mammal with a sleek, greyish-brown coat, pointed face, and a long, ringed tail.  It's well adapted to arboreal life, found in a range of habitats across Sri Lanka, from forests and plantations to urban gardens.  Primarily frugivorous, it plays a role in seed dispersal, contributing to forest regeneration.  While it also consumes insects, small vertebrates, and eggs, its fondness for palm flower sap gives it its ""Toddy Cat"" nickname.  Though generally shy and non-aggressive, it can emit a foul-smelling secretion when threatened."
Striped-necked Mongoose,Herpestes vitticollis,Non-Venomous,Low,"May hiss, growl, and arch its back.  Likely to flee rather than attack unless cornered.","Give it space to escape. If bitten, seek medical attention for potential bacterial infection.",Mammal,Yes,Wet Zone and some parts of the intermediate zone. Particularly found near water bodies in forested areas.,None,"The Striped-necked Mongoose (Herpestes vitticollis) is a large, robust mongoose species endemic to Sri Lanka. It is characterized by a distinctive dark stripe running along the sides of its neck and shoulders, contrasting with its otherwise grizzled brown to reddish-brown fur.  This semi-aquatic mongoose is well-adapted to life near rivers, streams, and marshes within forested areas.  Its diet consists mainly of crabs, frogs, fish, and other small vertebrates.  The Striped-necked Mongoose plays an essential role in its ecosystem as a predator, regulating populations of its prey species."
Indian Grey Mongoose,Herpestes edwardsii,Non-Venomous,Low,"May hiss, growl, arch its back, and raise its tail.  Can become aggressive if cornered.","Back away slowly and avoid sudden movements.  If bitten, seek medical attention for potential bacterial infection.",Mammal,No,"Throughout the island, including various habitats from dry zone forests to urban areas.",None,"The Indian grey mongoose is a small, agile carnivore with a grizzled grey-brown coat, a pointed snout, and a long, bushy tail.  They are opportunistic feeders, consuming a wide variety of prey including rodents, snakes, lizards, insects, and even fruit.  In Sri Lanka, they inhabit a range of environments, from forests and grasslands to agricultural lands and urban areas, demonstrating adaptability.  As a predator, the mongoose plays an important role in controlling rodent populations and contributes to the overall balance of the ecosystem."
Ruddy Mongoose,Herpestes smithii,Non-Venomous,Low,"May hiss, growl, arch its back, and raise its fur.  Likely to flee rather than attack unless cornered.","Back away slowly and avoid sudden movements.  If bitten, seek medical attention for potential bacterial infection.",Mammal,Yes,"Widespread throughout the island, including dry zone, wet zone, and hill country.",None,"The Ruddy Mongoose ( *Herpestes smithii*) is a reddish-brown, medium-sized carnivorous mammal endemic to Sri Lanka and India.  It has a long, bushy tail and relatively short legs.  Inhabiting a variety of environments, including forests, scrublands, and grasslands, it is a diurnal predator, primarily feeding on rodents, snakes, lizards, insects, and occasionally fruits.  The Ruddy Mongoose plays an important role in controlling rodent populations and contributes to the health of the ecosystem. They are generally solitary or found in pairs, and are known for their agility and sharp senses."
Indian Pangolin,Manis crassicaudata,Non-Venomous,Low,"Curls into a tight, armored ball. May hiss and thrash its tail.",Give it space and allow it to retreat. Do not attempt to handle it.,Mammal,No,"Dry Zone, including North Western, Northern, and parts of Eastern provinces.  Also sparsely found in some areas of the wet zone.",None,"The Indian pangolin (Manis crassicaudata) is a unique, scaly mammal specializing in myrmecophagy (ant and termite consumption). Covered in overlapping keratin scales, it uses its powerful claws to dig into ant and termite mounds, extracting its prey with a long, sticky tongue. Nocturnal and solitary by nature, the Indian pangolin plays a crucial role in controlling insect populations within its ecosystem.  They prefer habitats such as dry forests, grasslands, and scrublands, but ongoing habitat loss and poaching for their scales and meat pose serious threats to their survival in Sri Lanka."
Indian Porcupine,Hystrix indica,Non-Venomous,Moderate,"Raises its quills, makes grunting and rattling noises, and may charge backward into the perceived threat using its quill-covered tail.",Back away slowly and avoid sudden movements. Do not attempt to touch or corner the animal. Seek medical attention if injured by quills.,Mammal,No,"Throughout the island, including dry zone, intermediate zone, and parts of the wet zone.",None,"The Indian Porcupine ( *Hystrix indica* ) is a large rodent characterized by its long, sharp quills. These quills are modified hairs that serve as a formidable defense mechanism against predators like leopards and jackals.  They are nocturnal and primarily herbivorous, feeding on roots, tubers, bark, fruits, and crops.  Indian Porcupines play a role in seed dispersal and soil aeration through their digging activities.  They inhabit a variety of habitats from scrublands and forests to agricultural areas and even near human settlements, demonstrating their adaptability."
Indian Flying Fox,Pteropus giganteus,Non-Venomous,Low,"May screech, bare teeth, and attempt to bite if cornered or threatened.",Seek immediate medical attention as bites can cause bacterial infections.,Mammal,No,"Throughout the island, including urban areas.",None,"The Indian Flying Fox ( *Pteropus giganteus*) is a large fruit bat with a wingspan reaching up to 1.5 meters. They are primarily nocturnal and roost in large colonies in trees, often in urban environments.  Their diet consists mainly of fruits, nectar, and flowers, playing a crucial role in seed dispersal and pollination across Sri Lanka.  While generally docile, they possess sharp teeth for consuming fruit and can inflict a painful bite if handled or threatened. They are vital for maintaining the health of Sri Lankan ecosystems."
Lesser Yellow-lipped Bat,Scotophilus heathi,Non-Venomous,Low,"May squeak or try to bite if handled, but generally avoids confrontation.",Wash any bite thoroughly with soap and water.  Consult a doctor if necessary.,Mammal,Yes,"Throughout the island, including dry lowlands, intermediate zones, and even some areas in the wet zone.",None,"The Lesser Yellow-lipped Bat ( *Scotophilus heathi*) is a medium-sized microbat endemic to Sri Lanka.  It is distinguished by its yellow lips, giving it its common name. This bat is insectivorous, playing a vital role in controlling insect populations in various habitats across the island. It roosts in trees, buildings, and other man-made structures, often in small colonies. They are typically active at night, emerging to forage for insects in flight. While they are widespread in Sri Lanka, their population status is not fully known and further research is needed to assess any potential threats."
Jackal,Canis aureus,Non-Venomous,Moderate,"Becomes vocal, bares teeth, may lunge or snap.","Shout loudly, make yourself appear large, do not run, fight back aggressively if necessary.",Mammal,No,"Throughout the island, except for the highest altitudes.",None,"The Sri Lankan jackal (Canis aureus naja), a subspecies of the golden jackal, is a medium-sized canid with a golden-brown coat, a bushy tail, and a pointed muzzle. They are highly adaptable and opportunistic omnivores, inhabiting a variety of habitats from dry scrublands and forests to coastal areas and even urban fringes. Their diet includes fruits, insects, small mammals, birds, reptiles, and carrion, playing an important role as scavengers and helping control rodent populations.  They are typically nocturnal and live in small family groups, communicating through howls and other vocalizations."
Fishing Cat,Prionailurus viverrinus,Non-Venomous,Moderate,"Hisses, growls, spits, and arches its back. May flatten its ears and lash its tail.",Back away slowly and avoid direct eye contact. Make yourself appear large and shout loudly. Do not run.,Mammal,No,"All regions, but particularly wetlands and coastal areas.",None,"The fishing cat (Prionailurus viverrinus) is a medium-sized wild cat adapted to a semi-aquatic lifestyle. It has a stocky build, short legs, a short, thick tail, and webbed paws to aid in swimming and fishing. Its coat is olive-grey with dark spots arranged in longitudinal stripes, providing camouflage in its wetland habitat.  Fishing cats primarily inhabit wetlands, marshes, mangroves, rivers, and streams throughout Sri Lanka. They are nocturnal hunters, feeding primarily on fish, but also consuming frogs, crustaceans, snakes, birds, and small mammals. As an apex predator in its habitat, the fishing cat plays a crucial role in regulating prey populations and maintaining a balanced ecosystem.  They are threatened by habitat loss and human-wildlife conflict."
Jungle Cat,Felis chaus,Non-Venomous,Low,"Hisses, growls, arches its back, and may swat with claws.","Make yourself look large, shout, and slowly back away. Do not run.",Mammal,No,"Throughout the island, including dry zone forests, scrublands, and wetlands.",None,"The Jungle Cat (Felis chaus), a medium-sized feline, is characterized by its long legs, short tail, and reddish-brown or sandy-grey fur. Its pointed ears often have small black tufts at the tips. Found in various habitats across Sri Lanka, from dry forests and scrublands to wetlands and coastal areas, it is a skilled hunter, preying on rodents, birds, reptiles, and fish. As a predator, the Jungle Cat plays a crucial role in controlling prey populations and maintaining the balance of the ecosystem. While generally shy and elusive, it can display aggression if threatened or cornered."
Indian Hare,Lepus nigricollis,Non-Venomous,Low,"May flee rapidly or if cornered, may bite and scratch with powerful hind legs.","Avoid cornering. If bitten, wash the wound thoroughly and seek medical advice if necessary due to infection risk.",Mammal,No,"Throughout the island, except for dense forests at higher elevations.",None,"The Indian hare (Lepus nigricollis) is a medium-sized mammal with a distinctive black nape band from which its scientific name derives. They have long ears, powerful hind legs for running, and a yellowish-brown coat that provides camouflage in their preferred habitats of open grasslands, scrublands, and agricultural areas.  These herbivores play an essential role in the ecosystem as prey for predators like leopards and jackals, and contribute to seed dispersal. They are generally nocturnal but can be active during cooler parts of the day."
Indian Giant Squirrel,Ratufa indica,Non-Venomous,Low,"May chatter loudly, flick its tail, and display aggressive postures.",Give it space and allow it to retreat.  Bites are rare but possible if cornered.,Mammal,No,"Dry zone and intermediate zones, including areas like Uva, North Central, and parts of Eastern provinces.",None,"The Indian giant squirrel ( *Ratufa indica* ) is a large, diurnal, arboreal rodent known for its striking two-toned fur, often with shades of maroon, rust, and beige. They possess a long, bushy tail which aids in balance as they navigate the canopy.  Primarily herbivorous, their diet consists of fruits, nuts, flowers, and bark. They play a vital role in seed dispersal within their forest habitats, contributing to the regeneration of the ecosystem.  While not endemic to Sri Lanka, they are a conspicuous and important part of the island's diverse fauna."
Layard's Palm Squirrel,Funambulus layardi,Non-Venomous,Low,"May chatter loudly, flick its tail rapidly, and attempt to bite if cornered.",Wash any bite wound thoroughly with soap and water. Seek medical advice if the wound is deep or shows signs of infection.,Mammal,Yes,"Central, including Knuckles Mountain Range and surrounding areas.",None,"Layard's Palm Squirrel ( *Funambulus layardi* ) is a medium-sized, diurnal tree squirrel endemic to the central highlands of Sri Lanka.  It is characterized by its grizzled, olive-brown fur, a dark stripe running down its back, and a bushy, greyish-white tail. This squirrel inhabits montane and submontane forests, predominantly feeding on fruits, nuts, seeds, and insects found in the canopy.  It plays a vital role in seed dispersal within its ecosystem. While generally shy and retiring,  Layard's Palm Squirrels can be quite vocal, communicating with a variety of calls."
Flame-striped Jungle Squirrel,Funambulus sublineatus,Non-Venomous,Low,May chatter loudly and flick its tail.  Could attempt to bite if cornered.,Leave the animal alone and allow it to escape. Wash any bite wound thoroughly.,Mammal,Yes,"Throughout the island, but mainly in lowland rainforests and adjacent areas.",None,"The Flame-striped Jungle Squirrel ( *Funambulus sublineatus* ) is a small, diurnal rodent with distinctive chestnut-red stripes running down its back against a generally olive-brown or greyish fur. Its underside is typically creamy-white. This squirrel prefers dense foliage and can often be found foraging for fruits, nuts, seeds, insects, and flowers in the undergrowth and lower canopy of Sri Lanka's rainforests.  It plays a vital role in seed dispersal, contributing to the regeneration of forest ecosystems. Although generally shy, they can become habituated to human presence in some areas."
Dusky Striped Squirrel,Funambulus obscurus,Non-Venomous,Low,"May chatter loudly, flick its tail rapidly, and attempt to bite if cornered.",Leave the animal alone and allow it to escape. Wash any bite wound thoroughly with soap and water.,Mammal,Yes,Wet zone lowlands and some parts of the intermediate zone.,None,"The Dusky Striped Squirrel ( *Funambulus obscurus* ) is a small, diurnal rodent characterized by three dark stripes running down its back against a generally olive-brown or grayish fur.  Its underside is a lighter buff or orange color.  Inhabiting the wet zone lowland and some parts of the intermediate zone forests of Sri Lanka, this agile squirrel prefers the canopy but also forages on the ground.  Its diet primarily consists of fruits, nuts, seeds, flowers, and insects, playing a role in seed dispersal and forest regeneration.  While generally shy and avoiding human interaction, they can become defensive if threatened or cornered."
House Mouse,Mus musculus,Non-Venomous,Low,May bite if cornered or threatened. Typically tries to flee.,Wash the bite area thoroughly with soap and water. Seek medical advice if necessary (due to risk of infection).,Mammal,No,Island-wide,None,"The house mouse (Mus musculus) is a small rodent with a light brown to greyish body, large ears, and a long, thin tail.  It is a highly adaptable species found throughout Sri Lanka, inhabiting a wide range of environments from urban areas and agricultural lands to forests.  Primarily nocturnal, it constructs nests in hidden spaces and is an omnivore, feeding on grains, seeds, insects, and human food scraps.  House mice play a role in the ecosystem as both prey for larger animals and seed dispersers, though they are also considered pests due to their impact on stored food and their potential to spread diseases."
Roof Rat,Rattus rattus,Non-Venomous,Low,May bite if cornered or threatened. Typically tries to flee.,Wash the bite thoroughly with soap and water and seek medical advice if necessary due to the risk of infection.,Mammal,No,Island-wide,None,"The Roof Rat ( *Rattus rattus*) is a medium-sized rodent with a slender body, large ears, and a pointed snout.  Its fur is typically dark brown or black, though variations exist.  Found throughout Sri Lanka in both urban and rural environments,  it is a highly adaptable species that thrives in human settlements, agricultural lands, and forests. Roof rats are primarily nocturnal and excellent climbers, often nesting in attics, roofs, and trees.  They are omnivorous, feeding on a wide variety of fruits, seeds, grains, insects, and even small vertebrates. While playing a role in seed dispersal, they are also considered a pest due to their tendency to consume stored food and damage property, as well as being a potential vector for diseases."
Indian Pipistrelle,Pipistrellus coromandra,Non-Venomous,Low,May emit high-pitched squeaks and attempt to bite if cornered or handled.,Wash any bite thoroughly with soap and water and seek medical advice as bats can carry rabies.,Mammal,No,Throughout the island,None,"The Indian Pipistrelle ( *Pipistrellus coromandra*) is a small microbat found widely across South and Southeast Asia, including Sri Lanka.  These bats are characterized by their short, dark brown fur and reddish-brown wing membranes. They are insectivorous, playing a vital role in controlling insect populations. They roost in a variety of locations, including tree hollows, rock crevices, and buildings. They are nocturnal, emerging at dusk to forage for insects in a variety of habitats, from forests and urban areas to agricultural lands.  While generally harmless, like any wild animal they should be treated with caution."
Common Shrew,Suncus murinus,Mildly Venomous,Low,May emit high-pitched squeaks and attempt to bite.,Wash the bite thoroughly with soap and water and seek medical advice if symptoms develop.,Mammal,No,Island-wide,"Mild, toxic saliva with some anticoagulant properties.","The Common Shrew ( *Suncus murinus*) is a small, mouse-like mammal with a pointed snout, velvety fur, and small eyes.  It is typically grayish-brown in color.  Found throughout Sri Lanka in a variety of habitats, including gardens, forests, and urban areas, it is a highly adaptable species.  Primarily nocturnal, it plays an essential role in the ecosystem by controlling insect populations, consuming invertebrates, and occasionally small vertebrates. Though its saliva contains toxins used to subdue prey, it poses little threat to humans, and bites rarely cause more than localized pain and swelling."
Otter,Lutra lutra,Non-Venomous,Low,"May hiss, growl, and attempt to bite if cornered or feeling threatened.  Generally avoids confrontation.","Back away slowly and avoid further provoking the animal. Seek medical attention if bitten, as any wild animal bite carries risk of infection.",Mammal,No,"Throughout the island, including rivers, wetlands, coastal areas, and even some urban canals.",None,"The Eurasian otter ( *Lutra lutra*) is a sleek, semi-aquatic mammal with a long, muscular body, short legs, webbed feet, and a thick, brown fur coat providing excellent insulation.  They are highly adaptable, found in a variety of freshwater habitats across Sri Lanka, from rivers and streams to marshes and coastal lagoons.  Primarily nocturnal, they are skilled fishers, consuming fish, crustaceans, frogs, and small mammals. As apex predators in their freshwater ecosystems, otters play a vital role in regulating prey populations and maintaining the health of these environments. Although widespread globally, their presence in Sri Lanka highlights the island's rich biodiversity."
Dugong,Dugong dugon,Non-Venomous,Low,"May become defensive if harassed, particularly mothers protecting calves.  Could attempt to flee or use their powerful tails defensively.",Move away calmly and quickly. Do not approach or corner the animal.,Mammal,No,"North Western, Northern, Eastern, Southern coastal waters",None,"The dugong ( *Dugong dugon*) is a large, gentle marine mammal inhabiting warm coastal waters, including those around Sri Lanka. They are characterized by their large, cylindrical bodies, paddle-like flippers, and fluked tails similar to whales. Dugongs graze primarily on seagrass beds in shallow waters, playing a vital role in maintaining these ecosystems' health.  They are known as ""sea cows"" due to their herbivorous diet and slow, deliberate movements.  While generally docile, they can be protective of their young.  Dugongs face threats from habitat loss, fishing net entanglement, and boat strikes."
Spinner Dolphin,Stenella longirostris,Non-Venomous,Low,"May exhibit erratic swimming patterns, rapid changes in direction, and splashing.",Extremely unlikely. Move away slowly and calmly.,Mammal,No,Coastal waters around Sri Lanka,None,"The spinner dolphin ( *Stenella longirostris*) is a small, slender dolphin known for its acrobatic aerial displays, including spinning leaps out of the water.  They are found in tropical and subtropical oceans worldwide, including the coastal waters of Sri Lanka.  Spinner dolphins are highly social animals, often forming large pods. They primarily feed on small fish and squid, hunting at night in deeper waters and resting closer to shore during the day.  Their presence plays a vital role in maintaining the balance of the marine ecosystem."
Blue Whale,Balaenoptera musculus,Non-Venomous,Low,"May exhibit increased speed, erratic movements, or vocalizations.",Extremely unlikely. Maintain a respectful distance and move away slowly.,Mammal,No,"Southern, Western, Eastern (migratory; waters surrounding Sri Lanka)",None,"The blue whale (Balaenoptera musculus) is the largest animal on Earth, reaching lengths of up to 100 feet. These magnificent marine mammals are characterized by their long, streamlined bodies, bluish-grey coloration, and small dorsal fin. They are baleen whales, filtering massive quantities of krill and small fish from the ocean using baleen plates in their mouths. Blue whales are migratory, traversing vast distances across the world's oceans.  In Sri Lankan waters, they are typically observed during their migrations in the deeper waters surrounding the island, particularly off the southern, western, and eastern coasts.  They play a vital role in the marine ecosystem by regulating prey populations and contributing to nutrient cycling."
Sperm Whale,Physeter macrocephalus,Non-Venomous,Low (unless provoked),"May become aggressive if threatened, using its tail to slap the surface or its head to ram objects.",Move away quickly and put as much distance as possible between yourself and the whale.,Mammal,No,"Deep waters surrounding Sri Lanka, particularly off the southern and western coasts.",None,"The Sperm Whale ( *Physeter macrocephalus* ) is the largest toothed predator on Earth, characterized by its massive, square-shaped head.  Males can reach lengths of up to 20 meters.  They dive deep into the ocean, often to depths exceeding 1,000 meters, to hunt squid and other deep-sea creatures. Sperm whales play a significant role in the marine ecosystem by regulating prey populations and nutrient cycling.  While generally docile, they can become defensive if they perceive a threat, especially to their young.  Sri Lanka's waters are an important feeding and breeding ground for these magnificent creatures."
